,a2_i,a2_j,a1_i,a1_j,b2_i,b2_j,b1_i,b1_j,y1,y2
0,6.0,3.0,6.0,3.0,0.0,2.0,4.0,3.0,1.0,0.0
1,6.0,4.0,6.0,2.0,0.0,2.0,4.0,4.0,1.0,0.0
2,6.0,5.0,6.0,2.0,0.0,3.0,3.0,4.0,1.0,0.0
3,6.0,4.0,6.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0
4,6.0,4.0,6.0,1.0,0.0,3.0,2.0,4.0,1.0,0.0
5,6.0,3.0,6.0,1.0,0.0,2.0,2.0,5.0,3.0,0.0
6,6.0,3.0,6.0,2.0,0.0,1.0,2.0,5.0,3.0,0.0
7,6.0,3.0,6.0,3.0,0.0,1.0,1.0,5.0,3.0,0.0
8,6.0,3.0,6.0,4.0,1.0,1.0,1.0,4.0,3.0,0.0
9,5.0,3.0,6.0,4.0,1.0,0.0,2.0,4.0,2.0,0.0
10,5.0,4.0,6.0,4.0,0.0,0.0,1.0,4.0,2.0,0.0
11,5.0,4.0,6.0,4.0,0.0,1.0,0.0,4.0,2.0,0.0
12,5.0,4.0,6.0,4.0,0.0,2.0,1.0,4.0,2.0,0.0
13,4.0,4.0,6.0,5.0,0.0,2.0,2.0,4.0,2.0,0.0
14,4.0,5.0,6.0,4.0,0.0,3.0,2.0,4.0,2.0,0.0
15,4.0,6.0,6.0,4.0,0.0,2.0,2.0,5.0,2.0,0.0
16,4.0,6.0,6.0,5.0,0.0,2.0,2.0,6.0,2.0,0.0
17,3.0,6.0,6.0,5.0,1.0,2.0,2.0,5.0,2.0,0.0
18,3.0,5.0,6.0,6.0,2.0,2.0,2.0,4.0,1.0,0.0
19,3.0,5.0,6.0,6.0,2.0,2.0,2.0,4.0,1.0,0.0
20,3.0,5.0,6.0,6.0,1.0,2.0,2.0,3.0,1.0,0.0
21,2.0,5.0,6.0,6.0,1.0,2.0,2.0,3.0,1.0,0.0
22,2.0,6.0,6.0,6.0,1.0,3.0,2.0,4.0,0.0,0.0
23,2.0,5.0,6.0,6.0,1.0,3.0,2.0,3.0,1.0,0.0
24,3.0,5.0,6.0,5.0,1.0,4.0,2.0,2.0,1.0,0.0
25,3.0,5.0,5.0,5.0,1.0,3.0,3.0,2.0,1.0,0.0
26,2.0,5.0,5.0,4.0,0.0,3.0,3.0,2.0,1.0,0.0
27,3.0,5.0,6.0,4.0,0.0,2.0,4.0,2.0,1.0,0.0
28,3.0,6.0,6.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0
